epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.242,3.41666,6.39476,0.03631,0.00093,0.0121,0.00017,3e-05,3.63863,4.62764,0.01973,0.00998658,0.00332886,0.00998658,0.00332886,0.00998658,0.00332886,0.00998658,0.00332886
2,325.448,3.06811,5.32384,0.03061,0.44971,0.01807,0.0086,0.00269,2.92161,3.49675,0.01281,0.0199206,0.00664021,0.0199206,0.00664021,0.0199206,0.00664021,0.0199206,0.00664021
3,449.344,2.4981,4.18856,0.02116,0.36087,0.02965,0.01223,0.00448,2.85402,3.441,0.01175,0.0297887,0.00992956,0.0297887,0.00992956,0.0297887,0.00992956,0.0297887,0.00992956
4,568.569,2.32569,3.64099,0.01859,0.50656,0.05187,0.02862,0.01115,2.60591,3.19672,0.00979,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,688.169,2.21279,3.27741,0.01642,0.42977,0.06779,0.04421,0.01865,2.54446,2.82527,0.00989,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,807.39,2.16066,3.08903,0.01579,0.64826,0.07413,0.05896,0.02841,2.33552,2.60735,0.00848,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,926.488,2.1037,2.96465,0.01526,0.73785,0.08893,0.07636,0.03669,2.29378,2.52929,0.00809,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1045.53,2.06101,2.86311,0.01491,0.74971,0.09151,0.07058,0.03296,2.28775,2.60072,0.00812,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1164.77,2.04943,2.80289,0.01454,0.47473,0.11026,0.08814,0.04279,2.21036,2.4712,0.00771,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1284.15,2.02079,2.71991,0.0144,0.72572,0.09615,0.0895,0.04317,2.20563,2.48324,0.00773,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1403.47,2.01124,2.67046,0.01371,0.55429,0.12466,0.10338,0.05273,2.18984,2.28705,0.00757,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1522.84,1.97766,2.62112,0.01383,0.61884,0.12112,0.1183,0.05731,2.15296,2.25085,0.00733,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1642.11,1.9775,2.59453,0.01368,0.45745,0.1305,0.11625,0.06022,2.15265,2.23005,0.0073,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1761.3,1.94894,2.54751,0.0135,0.48036,0.14636,0.12917,0.06552,2.15255,2.17509,0.00717,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1880.38,1.91741,2.48652,0.01324,0.59459,0.13829,0.13579,0.06876,2.11112,2.12271,0.00706,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1999.63,1.91409,2.5007,0.01322,0.43072,0.15863,0.14732,0.07602,2.07492,2.11466,0.00693,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2119.15,1.9074,2.44102,0.01304,0.54624,0.16065,0.1543,0.08083,2.06118,2.05531,0.00692,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2238.14,1.88925,2.42512,0.01315,0.48649,0.17359,0.15819,0.08711,2.01458,2.01565,0.00671,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2357.37,1.88115,2.37291,0.01259,0.53534,0.16631,0.15986,0.08527,2.06874,2.015,0.00682,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2476.55,1.86546,2.3709,0.01299,0.5948,0.16347,0.16015,0.08527,2.04331,2.0981,0.0067,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2595.77,1.86534,2.3681,0.01309,0.59732,0.1641,0.16693,0.08845,2.03802,2.03788,0.00674,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2715.23,1.86959,2.32813,0.01232,0.67687,0.17956,0.18324,0.1003,1.9705,1.89926,0.00644,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2834.75,1.87339,2.30918,0.01236,0.6279,0.18131,0.17632,0.09459,2.00564,1.96026,0.00647,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2953.74,1.84406,2.31368,0.01254,0.61462,0.18236,0.19039,0.10604,1.94618,1.90081,0.00636,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,3072.97,1.84538,2.30505,0.01229,0.6197,0.18028,0.18135,0.09938,1.99492,1.89662,0.00647,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,3192.14,1.84449,2.2538,0.01228,0.63694,0.19871,0.20023,0.10975,1.92926,1.83419,0.00624,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,3311.09,1.80563,2.27332,0.01258,0.56414,0.1885,0.19809,0.11081,1.92204,1.85057,0.00623,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3430.13,1.81396,2.25845,0.01232,0.59507,0.19661,0.19704,0.10866,1.93626,1.84622,0.00619,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3549.25,1.81109,2.22382,0.01218,0.63172,0.20152,0.20934,0.11413,1.91787,1.82269,0.00615,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3668.32,1.79621,2.19093,0.01218,0.63272,0.21543,0.22149,0.12257,1.9049,1.78853,0.00607,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3787.36,1.80824,2.19097,0.01209,0.58607,0.20658,0.21841,0.12249,1.92664,1.78902,0.00612,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3906.63,1.79642,2.1853,0.01196,0.57988,0.20928,0.22317,0.1248,1.89361,1.78058,0.00604,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,4025.98,1.77724,2.15891,0.0119,0.62457,0.21003,0.22829,0.12882,1.87913,1.74274,0.00598,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4145.4,1.79133,2.16548,0.01196,0.61321,0.22097,0.22415,0.12531,1.88227,1.77926,0.00598,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4264.44,1.77743,2.15857,0.01173,0.58355,0.22696,0.23792,0.13554,1.88179,1.77321,0.00589,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4383.51,1.78521,2.14818,0.01204,0.59312,0.23374,0.23656,0.13357,1.89055,1.78089,0.00594,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4502.87,1.7739,2.1195,0.01164,0.67253,0.22154,0.2505,0.14309,1.87135,1.73084,0.00589,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4621.97,1.75631,2.10168,0.01161,0.69913,0.21967,0.24661,0.14181,1.84719,1.72492,0.00579,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4741.15,1.74577,2.06727,0.0114,0.62326,0.2216,0.25104,0.14406,1.8449,1.71841,0.0058,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4860.56,1.78307,2.0862,0.01153,0.61737,0.22493,0.25143,0.14602,1.84771,1.695,0.00577,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4979.99,1.76083,2.06409,0.01157,0.60003,0.25379,0.25324,0.14548,1.85499,1.68514,0.0058,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,5099.14,1.76442,2.06641,0.01146,0.65514,0.24058,0.26149,0.15028,1.8514,1.66777,0.00569,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5218.58,1.75181,2.04305,0.01132,0.66975,0.23234,0.26649,0.15524,1.85027,1.67391,0.00573,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5338.2,1.75672,2.04604,0.01151,0.68348,0.23376,0.26893,0.15576,1.82101,1.65299,0.00564,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5457.63,1.7479,2.05232,0.01149,0.61933,0.25669,0.26822,0.1538,1.81722,1.63438,0.00562,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,5576.79,1.73689,2.01212,0.0113,0.63696,0.25809,0.27443,0.16126,1.80439,1.60937,0.00559,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5695.93,1.73268,2.01096,0.0115,0.62478,0.24876,0.2747,0.16233,1.80226,1.62786,0.00556,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5815.43,1.74257,2.04252,0.0115,0.61971,0.25268,0.27493,0.16187,1.81247,1.65649,0.00556,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5935.12,1.75672,1.99909,0.01125,0.62495,0.25265,0.27819,0.16291,1.80672,1.6206,0.00551,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,6054.31,1.73284,1.98046,0.01116,0.60595,0.26209,0.28509,0.16801,1.79799,1.60253,0.0055,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,6173.6,1.72924,2.01436,0.01157,0.61414,0.26553,0.28138,0.16445,1.7821,1.60925,0.00547,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,6292.52,1.70696,1.97669,0.01146,0.5741,0.27062,0.28415,0.1686,1.78263,1.59982,0.00546,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6412.2,1.72891,1.95832,0.01133,0.58615,0.2696,0.28853,0.17035,1.77257,1.57613,0.00543,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6531.83,1.72181,1.94888,0.01095,0.60888,0.27452,0.2931,0.17443,1.76856,1.56973,0.00539,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,6651.38,1.71818,1.94617,0.01121,0.63735,0.27162,0.29734,0.1777,1.77316,1.57714,0.00539,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6770.86,1.72967,1.9707,0.01109,0.62124,0.27697,0.30128,0.18088,1.7681,1.56813,0.00538,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6890.31,1.71019,1.94654,0.01126,0.55239,0.2847,0.30559,0.1838,1.76242,1.54905,0.00535,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7009.78,1.71939,1.94745,0.01087,0.63959,0.28505,0.30954,0.18774,1.74699,1.52732,0.0053,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7129.3,1.72089,1.93911,0.01098,0.65452,0.27857,0.30963,0.1879,1.74712,1.52824,0.00528,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7248.75,1.70708,1.92006,0.01106,0.61265,0.28731,0.31061,0.18844,1.74421,1.52397,0.00529,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7368.14,1.69837,1.92489,0.01113,0.60999,0.29345,0.31496,0.19163,1.73227,1.50856,0.00526,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,7487.57,1.7182,1.91574,0.01089,0.62159,0.29185,0.3152,0.19264,1.73183,1.49947,0.00523,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,7606.74,1.69015,1.92729,0.01095,0.52352,0.29953,0.31711,0.1932,1.72988,1.49172,0.00521,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,7726.07,1.6882,1.90219,0.01109,0.59447,0.30581,0.31568,0.19202,1.72899,1.49876,0.00519,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,7845.27,1.69643,1.88861,0.01082,0.60233,0.30525,0.31678,0.19189,1.73306,1.50839,0.0052,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,7964.28,1.69082,1.9114,0.01133,0.59525,0.30698,0.32066,0.1945,1.72969,1.49845,0.00518,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,8083.82,1.68918,1.87711,0.01094,0.60077,0.30776,0.32139,0.19471,1.72775,1.49876,0.00516,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,8202.87,1.68199,1.88182,0.01095,0.60946,0.30857,0.3233,0.19586,1.72236,1.48952,0.00513,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,8322.48,1.69686,1.88246,0.01086,0.61222,0.3084,0.32408,0.197,1.71963,1.48903,0.00512,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,8442.28,1.69695,1.85577,0.01085,0.60812,0.3115,0.32593,0.19722,1.71924,1.49586,0.00511,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
