epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,158.024,3.40863,6.31176,0.03581,0.00147,0.0195,0.00019,3e-05,3.53919,4.48656,0.01837,0.00998658,0.00332886,0.00998658,0.00332886,0.00998658,0.00332886,0.00998658,0.00332886
2,276.149,2.96931,5.1844,0.02907,0.62311,0.01759,0.00821,0.00239,3.00697,3.54775,0.01306,0.0199206,0.00664021,0.0199206,0.00664021,0.0199206,0.00664021,0.0199206,0.00664021
3,386.288,2.47313,4.12404,0.02074,0.45117,0.02778,0.00909,0.00288,2.8236,3.61539,0.01125,0.0297887,0.00992956,0.0297887,0.00992956,0.0297887,0.00992956,0.0297887,0.00992956
4,491.46,2.31207,3.60149,0.0184,0.56136,0.062,0.03476,0.01304,2.53802,3.24506,0.00979,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,597.006,2.21629,3.24101,0.01646,0.52201,0.06378,0.04622,0.0193,2.56837,2.89151,0.00984,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,701.944,2.16541,3.04829,0.01586,0.54151,0.08601,0.06822,0.03188,2.34014,2.5333,0.0085,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,807.114,2.10203,2.94897,0.01536,0.73643,0.09228,0.07448,0.0348,2.30765,2.58176,0.00815,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,910.961,2.06576,2.84323,0.01515,0.73383,0.10642,0.07601,0.03539,2.28079,2.59137,0.00805,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1013.78,2.05895,2.78143,0.01469,0.54875,0.11459,0.08282,0.03933,2.25661,2.53179,0.00796,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1119.79,2.02286,2.71345,0.01445,0.71362,0.10426,0.09355,0.04509,2.2438,2.50743,0.00777,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1227.18,2.02118,2.6543,0.01386,0.61875,0.12344,0.10207,0.05164,2.21656,2.33981,0.00769,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1330.92,1.98172,2.60447,0.01392,0.61579,0.11572,0.11219,0.05451,2.14399,2.24428,0.00741,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1433.57,1.98539,2.58482,0.01388,0.63393,0.1269,0.11456,0.05708,2.16513,2.25111,0.00728,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1541.02,1.95735,2.53364,0.01365,0.57745,0.14951,0.13751,0.06696,2.12689,2.12141,0.00721,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1646.08,1.92341,2.46864,0.01339,0.59438,0.14911,0.14452,0.07365,2.11972,2.0897,0.00708,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1749.71,1.9226,2.48342,0.01342,0.51753,0.1526,0.1443,0.07318,2.07691,2.09866,0.00702,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1853.5,1.9144,2.42948,0.01311,0.42051,0.17981,0.15677,0.08217,2.06084,2.04999,0.00702,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1958.88,1.89184,2.40802,0.01327,0.62626,0.17395,0.16885,0.09026,2.03455,2.00286,0.0068,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2063.05,1.8887,2.3731,0.01274,0.56477,0.17207,0.16087,0.08488,2.0226,2.00702,0.0068,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2167.9,1.86426,2.36065,0.01304,0.55385,0.16586,0.16689,0.08758,2.0139,2.00645,0.00674,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2273.08,1.86992,2.36424,0.0132,0.57528,0.16151,0.1635,0.08552,2.04836,2.06861,0.00683,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2378.97,1.8792,2.32405,0.0125,0.68614,0.17727,0.18366,0.09965,1.99226,1.94147,0.00656,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2485.01,1.88275,2.28809,0.01256,0.63987,0.18817,0.18587,0.0963,2.03249,1.95838,0.00666,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2591.06,1.85067,2.30558,0.01268,0.67001,0.18304,0.1933,0.10326,1.99171,1.93903,0.00647,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2697.12,1.85454,2.30631,0.01248,0.62995,0.18803,0.18718,0.10034,1.97911,1.92978,0.00647,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2802.68,1.85723,2.25417,0.01248,0.66421,0.20266,0.20978,0.1152,1.92223,1.80792,0.00622,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2907.87,1.81497,2.25985,0.01268,0.67392,0.18318,0.19368,0.10656,1.95415,1.89534,0.00637,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3013.16,1.82459,2.25535,0.01258,0.57146,0.19805,0.20381,0.1113,1.94251,1.84659,0.0062,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3117.41,1.82626,2.21288,0.01243,0.68864,0.2029,0.21592,0.1192,1.93086,1.82123,0.00622,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3221.63,1.80036,2.19588,0.01229,0.69,0.1998,0.21669,0.12012,1.92597,1.84968,0.00622,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3327.3,1.81706,2.18711,0.01229,0.66138,0.21156,0.2218,0.12272,1.93072,1.80279,0.00617,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3433.39,1.79846,2.18153,0.01211,0.61332,0.21272,0.22897,0.12541,1.89039,1.76323,0.00607,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3538.08,1.7821,2.14778,0.01203,0.60271,0.21727,0.23251,0.13033,1.87432,1.73588,0.00598,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3642.89,1.79832,2.16742,0.01221,0.72268,0.21323,0.23259,0.12798,1.89658,1.75973,0.00603,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3748.19,1.79295,2.15489,0.01204,0.64939,0.21628,0.23552,0.13096,1.89868,1.75262,0.00602,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3853.12,1.80481,2.1455,0.01239,0.62054,0.21493,0.23599,0.13012,1.90079,1.77477,0.00598,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3958.7,1.79369,2.11243,0.01196,0.74418,0.21564,0.24704,0.14037,1.86628,1.71998,0.00584,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4063.28,1.76977,2.09492,0.01177,0.56552,0.22334,0.24119,0.13599,1.87948,1.73641,0.00591,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4167.95,1.75953,2.06948,0.01162,0.67369,0.22604,0.25405,0.14327,1.87027,1.71331,0.00591,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4274.22,1.78539,2.09125,0.01154,0.63237,0.22449,0.25344,0.14535,1.86101,1.67855,0.00581,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4377.56,1.7699,2.06564,0.01177,0.66059,0.22534,0.25633,0.14515,1.87276,1.72854,0.00585,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4483.32,1.78103,2.05577,0.01169,0.67356,0.23402,0.26716,0.15335,1.85522,1.6817,0.00579,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4587.94,1.7675,2.04013,0.0116,0.69742,0.23524,0.27165,0.15628,1.84085,1.65742,0.00577,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4693.03,1.77152,2.04337,0.01168,0.68009,0.24546,0.27322,0.15752,1.82503,1.64788,0.00569,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4799,1.75662,2.05014,0.01169,0.63661,0.25724,0.2688,0.1538,1.85452,1.65533,0.00572,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4903.96,1.7446,2.01182,0.01137,0.65511,0.26749,0.28203,0.16375,1.82696,1.6106,0.00566,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5008.71,1.73722,2.02023,0.01159,0.5508,0.26315,0.27619,0.16211,1.81901,1.62644,0.00563,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5114.69,1.74635,2.03824,0.0116,0.64102,0.26073,0.28135,0.16463,1.81555,1.62771,0.00559,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5219.71,1.7564,1.99307,0.01131,0.61921,0.26452,0.2882,0.16882,1.81205,1.61315,0.00555,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5326.42,1.74205,1.97951,0.01136,0.55311,0.26194,0.29187,0.17266,1.8115,1.61439,0.00555,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5431.7,1.73904,2.01207,0.01179,0.52593,0.2622,0.28695,0.16995,1.79254,1.61529,0.00551,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5538.94,1.71142,1.98606,0.01155,0.57563,0.27707,0.29508,0.17468,1.78757,1.59822,0.0055,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5644.4,1.73858,1.95495,0.01149,0.57697,0.29232,0.29948,0.17868,1.78478,1.57532,0.00547,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5748.72,1.73825,1.94513,0.01113,0.57656,0.28071,0.30482,0.18031,1.77881,1.57303,0.00543,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5852.5,1.72458,1.94061,0.01138,0.62424,0.27793,0.30464,0.18011,1.78016,1.56892,0.00544,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5956.57,1.73086,1.95464,0.01115,0.5836,0.28906,0.31152,0.18597,1.76819,1.55709,0.0054,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6061.79,1.72361,1.9493,0.01145,0.55741,0.2968,0.31271,0.18641,1.75934,1.55082,0.00535,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,6165.65,1.71712,1.94544,0.0109,0.5375,0.29314,0.31525,0.18915,1.75271,1.53427,0.00534,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,6271.49,1.72686,1.93081,0.01115,0.63636,0.28777,0.31667,0.18926,1.76187,1.55138,0.00534,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6375.52,1.7131,1.92765,0.01112,0.63708,0.28787,0.3176,0.19037,1.75651,1.55093,0.00532,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6481.7,1.70644,1.92059,0.01129,0.57016,0.29743,0.31937,0.19247,1.74766,1.5362,0.00527,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6588.23,1.71862,1.91768,0.011,0.54171,0.32253,0.32513,0.19439,1.74769,1.52772,0.00526,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6693.35,1.69548,1.92862,0.01107,0.54614,0.32669,0.3262,0.19472,1.74863,1.52097,0.00525,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6798.48,1.69569,1.90055,0.01126,0.55713,0.32687,0.32873,0.19711,1.75134,1.51915,0.00524,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6904.57,1.70757,1.89514,0.01102,0.55719,0.31658,0.32978,0.19819,1.74573,1.52566,0.0052,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,7010.74,1.6893,1.90782,0.01141,0.58012,0.3188,0.3341,0.20111,1.73818,1.50943,0.0052,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,7116.81,1.69985,1.88869,0.0111,0.57947,0.32759,0.33592,0.20287,1.73562,1.49977,0.00519,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,7221.84,1.68909,1.88751,0.01102,0.57396,0.33145,0.33809,0.20484,1.73316,1.49566,0.00516,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,7325.41,1.70559,1.87875,0.01104,0.57879,0.32542,0.33636,0.20341,1.7318,1.494,0.00517,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,7430.01,1.70026,1.85959,0.01088,0.57195,0.32442,0.3371,0.20417,1.73091,1.48876,0.00517,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7534.43,1.69459,1.87573,0.01097,0.5258,0.34565,0.33886,0.20515,1.72972,1.48164,0.00516,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7639.67,1.67812,1.85732,0.01103,0.52128,0.34999,0.33939,0.20553,1.72847,1.47836,0.00516,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
