epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,130.35,3.47503,6.32196,0.03649,0.00206,0.01881,0.00025,4e-05,3.58943,4.38958,0.01917,0.00998658,0.00332886,0.00998658,0.00332886,0.00998658,0.00332886,0.00998658,0.00332886
2,221.027,3.04681,5.25381,0.03016,0.60926,0.01746,0.00551,0.00156,3.02818,3.66006,0.01326,0.0199206,0.00664021,0.0199206,0.00664021,0.0199206,0.00664021,0.0199206,0.00664021
3,303.342,2.54243,4.25645,0.02162,0.44915,0.03258,0.01326,0.00473,2.79572,3.50516,0.01149,0.0297887,0.00992956,0.0297887,0.00992956,0.0297887,0.00992956,0.0297887,0.00992956
4,381.637,2.39231,3.73244,0.01951,0.47966,0.05282,0.02405,0.00896,2.62338,3.23954,0.01033,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,463.098,2.28551,3.37959,0.01727,0.41525,0.06537,0.03606,0.01478,2.492,2.97069,0.00941,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,543.13,2.22655,3.17255,0.01658,0.57837,0.06471,0.04553,0.02161,2.41801,2.7843,0.00893,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,623.127,2.16258,3.07793,0.01605,0.76257,0.06912,0.05518,0.02533,2.44745,2.79371,0.00893,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,704.979,2.11778,2.97723,0.0158,0.70039,0.08157,0.05157,0.02413,2.40241,2.71913,0.00866,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,786.956,2.11387,2.89899,0.01537,0.54641,0.09425,0.07187,0.03387,2.29645,2.51675,0.00825,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,868.816,2.0721,2.83038,0.01499,0.66614,0.0854,0.07181,0.03276,2.28412,2.60508,0.00821,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,953.909,2.06334,2.7812,0.0143,0.58919,0.10496,0.08489,0.04335,2.25582,2.47185,0.008,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1035.56,2.03346,2.73427,0.01455,0.61289,0.11326,0.10072,0.04914,2.22255,2.29925,0.00777,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1115.76,2.03738,2.70977,0.0144,0.73942,0.11208,0.08849,0.04314,2.23592,2.49831,0.00777,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1195.13,2.00792,2.66214,0.0142,0.61206,0.11901,0.10774,0.05226,2.21004,2.27806,0.00767,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1277.27,1.97643,2.60591,0.01393,0.7497,0.12449,0.11519,0.05742,2.2007,2.2357,0.00761,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1361.09,1.97228,2.61253,0.01392,0.55036,0.13766,0.11516,0.05599,2.1852,2.2718,0.0075,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1445.43,1.96613,2.54569,0.01366,0.69277,0.13364,0.12484,0.06361,2.12045,2.18025,0.00725,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1524.76,1.94782,2.54821,0.0139,0.64364,0.13415,0.12288,0.06452,2.11521,2.17193,0.00726,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1607.43,1.94229,2.50051,0.01328,0.54809,0.13785,0.12951,0.06683,2.15373,2.18949,0.00736,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1688.66,1.93141,2.4888,0.01374,0.76416,0.13272,0.12539,0.06287,2.13131,2.22363,0.00729,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1770.17,1.9354,2.49273,0.01389,0.71681,0.14204,0.13734,0.07172,2.11707,2.18756,0.0072,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
